A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
carved                           3
carven                           2
cascades-they                    1
case                             2
cast                             2
castle                           1
cat                              2
catch                            1
catchin                          1
cats                             2
caught                           19
cause                            3
cautious                         2
caw                              1
caw-caw                          4
cawed                            3
cawing                           1
cease                            3
ceased                           7
ceiling                          1
center                           1
centuries                        1
century                          5
ceremony                         2
certain                          8
certainly                        4
chair                            31
chair-carriage                   1
chairs                           2
chamber                          2
champion                         3
chance                           6
chances                          1
change                           12
changed                          9
changed-his                      1
changing                         10
chant                            2
chantin                          1
chanting                         3
chap                             10
chap-jump                        1
chap-tha                         1
chaps                            2
chapter                          27
charge                           8
charges                          1
charitable                       1
charities                        1
charm                            3
charmer                          6
charmer-which                    1
charmers                         3
charming                         1
charms                           3
chase                            1
chased                           1
chat                             1
chattered                        2
chattering                       1
check                            4
checked                          1
checks                           1
cheek                            3
cheeks                           24
cheeky                           1
cheer                            4
cheered                          2
cheerful                         13
cheerfully                       1
cherries                         1
cherry                           1
cherry-tree                      1
cherry-trees                     1
chest                            3
chicken                          2
chief                            2
child                            60
childish                         4
children                         51
children-little                  1
children-or                      1
childrens                        1
childs                           2
chilly                           1
chimneys                         1
chin                             4
chippering                       1
chirp                            6
chirped                          6
chirps                           1
chiseled                         1
choir                            1
choke                            1
choked                           4
choking                          2
cholera                          7
choose                           2
choosers                         1
chose                            1
chosen                           2
chuckle                          1
chuckled                         8
chuckles                         1
chuckling                        2
church                           7
cinders                          1
circle                           3
circles                          1
circumstances                    1
city                             1
civil                            1
claim                            1
clambered                        1
clasped                          1
clean                            11
clear                            15
cleared                          3
clearer                          1
clearing                         1
clearings                        1
clearly                          1
clemmin                          1
clench                           1
clergyman                        1
clergymans                       1
clever                           8
cleverer                         1
climb                            2
climbed                          7
climbing                         9
clinging                         2
clipped                          4
cloak                            3
cloak-as                         1
clock                            2
clod                             1
close                            25
close-grown                      2
close-shut                       1
closed                           16
closely                          1
closer                           6
cloth                            2
clothes                          13
clotted                          3
cloud                            1
clouds                           7
clump                            2
clumping                         1
clumps                           5
clumsy                           4
clustered                        1
clusters                         1
clutch                           1
clutched                         4
coach                            1
coachman                         1
coal                             2
coarse                           1
coat                             11
coats                            1
coax                             1
coaxed                           1
coaxing                          2
cobwebs                          1
cock                             2
cockle                           2
codes                            1
cold                             13
coldly                           3
colds                            1
colin                            302
colin-five                       1
colinbut                         1
colins                           30
collar                           1
collars                          1
collected                        1
collection                       6
collie                           1
colonel                          1
color                            20
colored                          4
colorless                        1
colors                           1
columbine                        2
columbines                       1
combined                         1
come                             176
come-until                       1
comes                            14
comfortable                      16
comfortably                      2
comforted                        2
comforting                       1
comin                            8
coming                           38
command                          2
commanded                        5
comment                          1
commercial                       1
committed                        1
common                           10
communicate                      1
como                             1
companion                        1
companions                       2
companionship                    1
company                          3
compare                          2
compilation                      1
complainin                       2
complaining                      1
complainingly                    1
complains                        1
compliance                       5
comply                           6
complying                        3
compound                         1
compressed                       1
computer                         2
computers                        2
conceal                          1
concealed                        1
concealing                       1
conceited                        2
concept                          2
concerning                       2
concert                          1
condescended                     2
condition                        1
conduct                          1
confessed                        2
confidence                       1
confirmation                     1
confirmed                        3
confused                         1
confusion                        1
consequence                      1
consequential                    1
considerable                     2
considering                      1
consort                          1
constant                         1
constantly                       2
consult                          1
contact                          3
contain                          2
contained                        1
contained-and                    1
containing                       2
content                          1
contents                         1
continued                        2
contract                         1
contradict                       1
contradicted                     2
contrariness                     1
contrary                         20
contributions                    2
control                          3
convert                          1
conveyed                         1
convincing                       2
cook                             3
cool                             3
coolly                           1
copied                           2
copies                           7
copious                          1
copy                             12
copying                          4
copyright                        19
cord                             3
cording                          1
corner                           18
corners                          8
corporation                      1
corridor                         26
corridors                        9
corrupt                          1
cost                             3
cost-a                           1
costs                            2
costumes                         1
cottage                          33
cottage-made                     1
cottager                         1
cottages                         2
cough                            2
coughs                           1
could                            234
could-live                       1
could-wouldnt                    1
couldna                          5
couldnt                          22
count                            3
counted                          7
countries                        1
country                          8
courage                          3
courageous                       2
course                           26
court                            1
courtin                          3
courtyard                        2
cousin                           7
